TestImage1,TestQuestion1
AlienA.png,Have you seen this alien before? 
AlienB.png,Have you seen this alien before? 
AlienNew.png,Have you seen this alien before? 
Singular5.png,Have you seen this object before? 
Plural8.png,Have you seen this object before? 
ObjectNew.png,Have you seen this object before? 
Outfit1.png,Have you seen this outfit before?
Outfit2.png,Have you seen this outfit before?
OutfitNew.png,Have you seen this outfit before?
wejunTest.png,Have you seen this word before?
gunawulTest.png,Have you seen this word before?
falon.png,Have you seen this word before?
