Trialnumber,Trial number,AlienImageFile,ItemImageFile,Item,WordImageFile,CorrectImage,CorrectWord,IncorrectWord,IncorrectImage,Chunk,WordForm,Individualidentity,Species,Outfit,Variant
66,66,B2_2.png,Plural6.png,tulimurgok,tulimurgok.png,tulimurgok.png,tulimurgok,tulimurkog,tulimurkog.png,17,Plural6,B2,B,2,gok
67,67,B3_2.png,Plural7.png,petiletgok,petiletgok.png,petiletgok.png,petiletgok,petiletkog,petiletkog.png,17,Plural7,B3,B,2,gok
68,68,B4_2.png,Plural8.png,ropukogok,ropukogok.png,ropukogok.png,ropukogok,ropukokog,ropukokog.png,17,Plural8,B4,B,2,gok
69,69,B1_2.png,Plural9.png,luragurgok,luragurgok.png,luragurgok.png,luragurgok,luragurkog,luragurkog.png,18,Plural9,B1,B,2,gok
70,70,B2_2.png,Plural10.png,gunawulgok,gunawulgok.png,gunawulgok.png,gunawulgok,gunawulkog,gunawulkog.png,18,Plural10,B2,B,2,gok
71,71,B3_2.png,Plural1.png,kabuqgok,kabuqgok.png,kabuqgok.png,kabuqgok,kabuqokg,kabuqokg.png,18,Plural1,B3,B,2,gok
72,72,B4_2.png,Plural2.png,bupodgok,bupodgok.png,bupodgok.png,bupodgok,bupodokg,bupodokg.png,18,Plural2,B4,B,2,gok
73,73,B1_2.png,Plural3.png,hasotgok,hasotgok.png,hasotgok.png,hasotgok,hasotokg,hasotokg.png,19,Plural3,B1,B,2,gok
74,74,B2_2.png,Plural4.png,wejungok,wejungok.png,wejungok.png,wejungok,wejunokg,wejunokg.png,19,Plural4,B2,B,2,gok
75,75,B3_2.png,Plural5.png,keniggok,keniggok.png,keniggok.png,keniggok,kenigokg,kenigokg.png,19,Plural5,B3,B,2,gok
76,76,B4_2.png,Plural6.png,tulimurgok,tulimurgok.png,tulimurgok.png,tulimurgok,tulimurokg,tulimurokg.png,19,Plural6,B4,B,2,gok
77,77,B1_2.png,Plural7.png,petiletgok,petiletgok.png,petiletgok.png,petiletgok,petiletokg,petiletokg.png,20,Plural7,B1,B,2,gok
78,78,B2_2.png,Plural8.png,ropukogok,ropukogok.png,ropukogok.png,ropukogok,ropukookg,ropukookg.png,20,Plural8,B2,B,2,gok
79,79,B3_2.png,Plural9.png,luragurgok,luragurgok.png,luragurgok.png,luragurgok,luragurokg,luragurokg.png,20,Plural9,B3,B,2,gok
80,80,B4_2.png,Plural10.png,gunawulgok,gunawulgok.png,gunawulgok.png,gunawulgok,gunawulokg,gunawulokg.png,20,Plural10,B4,B,2,gok
